year,technologies_deployed,annual_capex,annual_abatement,cumulative_abatement
2025,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}]",1066666.6666666667,2133.3333333333335,2133.3333333333335
2026,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}]",18852559.925547212,39859.59120500816,41992.9245383415
2027,"[{'technology': 'LED Lighting', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 1666.6666666666667}, {'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Waste Heat Recovery', 'deployment_fraction': 0.3333333333333333, 'capex': 33333.333333333336, 'abatement': 66.66666666666667}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Heat Pumps', 'deployment_fraction': 0.3333333333333333, 'capex': 533333.3333333334, 'abatement': 400.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.26036322564454695, 'capex': 7810896.769336409, 'abatement': 65090.806411136735}]",27225125.745405402,105485.4,147478.3245383415
2028,"[{'technology': 'HVAC Efficiency', 'deployment_fraction': 0.3333333333333333, 'capex': 500000.0, 'abatement': 666.6666666666666}, {'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Solar PV', 'deployment_fraction': 0.3333333333333333, 'capex': 16009246.575342467, 'abatement': 11526.657534246575}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Nature-Based Solutions', 'deployment_fraction': 0.3333333333333333, 'capex': 1276646.683538079, 'abatement': 25532.933670761584}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.26036322564454695, 'capex': 7810896.769336409, 'abatement': 65090.806411136735}]",26158459.078738734,103352.06666666668,250830.39120500817
2029,"[{'technology': 'Building Insulation', 'deployment_fraction': 0.3333333333333333, 'capex': 495002.38385511114, 'abatement': 495.0023838551112}, {'technology': 'Efficient Motors', 'deployment_fraction': 0.3333333333333333, 'capex': 66666.66666666667, 'abatement': 40.0}, {'technology': 'Industrial Electrification', 'deployment_fraction': 0.26036322564454695, 'capex': 7810896.769336409, 'abatement': 65090.806411136735}]",8372565.819858187,65625.80879499184,316456.2
2030,[],0.0,0.0,316456.2
