technology,deployment_fraction,annual_abatement,capex,lcoa,sector
LED Lighting,1.0,5000.0,1500000.0,-59.23961253388486,Buildings
HVAC Efficiency,1.0,2000.0,1500000.0,-22.777927033515436,Buildings
Building Insulation,1.0,1485.0071515653335,1485007.1515653334,-12.81544302314851,Buildings
Waste Heat Recovery,1.0,200.0,100000.0,-8.518618022343631,Industry
Solar PV,1.0,34579.97260273973,48027739.7260274,-2.462891371841648,Energy
Efficient Motors,1.0,120.0,200000.0,-1.2049510322271808,Industry
Heat Pumps,1.0,1200.0,1600000.0,3.9503519404169833,Buildings
Nature-Based Solutions,1.0,76598.80101228475,3829940.0506142373,50.0,Offsets
Industrial Electrification,0.7810896769336408,195272.4192334102,23432690.308009226,80.0,Industry
